t,message
-1785059561.202,"6403.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.49; 6403.778:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6404.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.68; 6404.768:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059559.950,"6405.694:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.21; 6405.769:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059558.698,"6406.690:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.21; 6406.772:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059557.446,"6407.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.21; 6407.767:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059556.194,"6408.699:v15 CANDIDATE t0=6406.35 yank=1.57g quietAt=6408.06 B(abs)=n/a B(rel)=-2.26"
-1785059553.690,"6411.700:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059552.437,"6412.700:v15 REJECT reason=gateEntrySpeed vin=2.78; 6412.700:v15 CANDIDATE t0=6408.80 yank=1.71g quietAt=6412.35 B(abs)=n/a B(rel)=-1.98; 6412.764:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059551.140,"6414.689:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059549.888,"6415.698:v15 REJECT reason=gateEntrySpeed vin=4.43; 6415.698:v15 CANDIDATE t0=6411.68 yank=1.64g quietAt=6414.80 B(abs)=n/a B(rel)=-1.74; 6415.756:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059546.132,"6419.696:v15 LANDING noRiseAbort-softClose impact=0.00g air=6.83"
-1785059544.880,"6420.696:v15 REJECT reason=gateNoJumpEvidence dCrs=9.73 drop=1.05 yank=1.64; 6420.697:v15 CANDIDATE t0=6417.26 yank=1.72g quietAt=6419.52 B(abs)=n/a B(rel)=n/a; 6420.747:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059531.106,"6435.380:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059517.333,"6447.701:v15 REJECT reason=maxFlightExceeded air=30.00; 6447.701:v15 CANDIDATE t0=6444.19 yank=1.63g quietAt=6447.26 B(abs)=n/a B(rel)=-2.11; 6448.033:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059516.081,"6449.703:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059514.829,"6450.694:v15 REJECT reason=floatBelowMin float=0.33; 6450.695:v15 CANDIDATE t0=6448.81 yank=1.47g quietAt=6450.19 B(abs)=n/a B(rel)=-2.41; 6451.016:v15 BARO abs drop reason=degradedAccuracy acc=23.21; 6451.693:v15 IMPACT pending=2.02g air=1.87"
-1785059512.324,"6452.699:v15 LANDING impact impact=3.87g air=1.90; 6452.700:v15 REJECT reason=gateNoJumpEvidence dCrs=4.56 drop=1.00 yank=1.47; 6452.700:v15 REJECT reason=floatBelowMin float=0.32; 6452.700:v15 REJECT reason=floatBelowMin float=0.33; 6452.700:v15 REJECT reason=floatBelowMin float=0.31; 6452.700:v15 REJECT reason=floatBelowMin float=0.34; 6452.701:v15 CANDIDATE t0=6450.71 yank=3.87g quietAt=6452.22 B(abs)=n/a B(rel)=n/a; 6453.019:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059511.072,"6453.700:v15 IMPACT pending=1.93g air=2.57"
-1785059509.820,"6455.699:v15 LANDING impact impact=2.53g air=2.95; 6453.664:JUMP(v15) FINAL h=1.68m src=ballistic air=2.95s dist=18.06m hFit=-1.0 hRel=-1.0 hBal=1.68 arcPts=0 yank=3.87g impact=2.53g float=0.55 rot=0.77 hard=true conf=50.0 latency=1.5s; 6455.707:v15 JUMP h=1.68m src=ballistic air=2.95s conf=0.50; 6455.707:v15 REJECT(open) reason=retriggerGuard; 6456.015:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059508.568,"6456.693:v15 REJECT(open) reason=retriggerGuard; 6457.008:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059507.316,"6457.700:v15 REJECT(open) reason=retriggerGuard; 6458.010:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059506.064,"6458.695:v15 REJECT(open) reason=retriggerGuard; 6459.012:v15 BARO abs drop reason=degradedAccuracy acc=23.21; 6459.701:v15 REJECT(open) reason=retriggerGuard; 6459.762:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059504.812,"6460.700:v15 REJECT(open) reason=retriggerGuard; 6461.003:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059503.560,"6461.693:v15 CANDIDATE t0=6459.82 yank=1.34g quietAt=6461.44 B(abs)=n/a B(rel)=-1.10"
-1785059499.803,"6465.697:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059498.551,"6466.697:v15 REJECT reason=softEcho dt=6.16; 6466.698:v15 CANDIDATE t0=6464.02 yank=1.43g quietAt=6465.83 B(abs)=n/a B(rel)=-0.85; 6466.994:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059496.047,"6470.696:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.49"
-1785059494.795,"6471.697:v15 REJECT reason=gateNoJumpEvidence dCrs=0.11 drop=0.87 yank=1.43; 6471.697:v15 CANDIDATE t0=6467.06 yank=1.37g quietAt=6470.52 B(abs)=n/a B(rel)=n/a"
-1785059493.543,"6471.982:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059475.993,"6489.701:v15 IMPACT pending=1.99g air=22.25"
-1785059473.489,"6491.697:v15 LANDING impact impact=2.18g air=22.29; 6491.697:v15 REJECT reason=ballisticAboveHardCap hBal=90.25 air=22.29; 6491.698:v15 REJECT reason=gateNoJumpEvidence dCrs=21.22 drop=0.99 yank=1.40; 6491.698:v15 REJECT reason=gateNoJumpEvidence dCrs=21.22 drop=0.99 yank=1.32; 6491.698:v15 REJECT reason=gateNoJumpEvidence dCrs=23.24 drop=0.98 yank=1.27; 6491.698:v15 REJECT reason=gateNoJumpEvidence dCrs=22.39 drop=0.98 yank=1.26; 6491.699:v15 REJECT reason=gateNoJumpEvidence dCrs=20.45 drop=0.98 yank=1.76; 6491.699:v15 CANDIDATE t0=6489.35 yank=2.18g quietAt=6490.86 B(abs)=n/a B(rel)=-0.32; 6491.948:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059470.984,"6494.701:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059469.732,"6495.694:v15 REJECT reason=gateNoJumpEvidence dCrs=11.46 drop=1.03 yank=2.18; 6495.694:v15 REJECT reason=gateNoJumpEvidence dCrs=18.36 drop=0.99 yank=1.39; 6495.694:v15 REJECT reason=gateNoJumpEvidence dCrs=18.36 drop=0.99 yank=1.55; 6495.695:v15 CANDIDATE t0=6493.55 yank=1.60g quietAt=6495.35 B(abs)=n/a B(rel)=-0.09; 6495.932:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059465.976,"6499.697:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059464.724,"6500.698:v15 REJECT reason=gateNoJumpEvidence dCrs=14.88 drop=0.88 yank=1.60; 6500.699:v15 CANDIDATE t0=6495.56 yank=1.38g quietAt=6499.56 B(abs)=n/a B(rel)=n/a; 6500.932:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059463.472,"6501.699:v15 IMPACT pending=1.95g air=5.66"
-1785059462.219,"6503.698:v15 LANDING impact impact=3.09g air=5.91; 6503.699:v15 REJECT reason=gateNoJumpEvidence dCrs=9.85 drop=0.78 yank=1.38; 6503.699:v15 REJECT reason=gateNoJumpEvidence dCrs=9.70 drop=0.80 yank=1.36; 6503.699:v15 REJECT reason=gateNoJumpEvidence dCrs=6.27 drop=0.82 yank=1.27; 6503.699:v15 REJECT reason=gateNoJumpEvidence dCrs=6.52 drop=0.85 yank=1.27; 6503.699:v15 REJECT reason=gateNoJumpEvidence dCrs=6.52 drop=0.85 yank=1.34; 6503.700:v15 REJECT reason=gateNoJumpEvidence dCrs=9.15 drop=0.88 yank=1.22; 6503.700:v15 CANDIDATE t0=6501.46 yank=3.09g quietAt=6502.97 B(abs)=n/a B(rel)=n/a; 6503.927:v15 BARO abs drop reason=degradedAccuracy acc=23.21"
-1785059460.967,"6504.695:v15 IMPACT pending=2.01g air=2.22"
