t,message
-1783872982.232,"1558.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.12"
-1783872981.232,"1559.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.15"
-1783872980.236,"1560.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.16"
-1783872979.236,"1561.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783872978.235,"1562.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783872977.235,"1563.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783872976.234,"1564.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783872975.234,"1565.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783872974.233,"1566.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783872973.233,"1567.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783872964.233,"1576.421:Absolute altitude watchdog restart: valueFrozen unchanged=10.8s relativeDelta=1.84m attempt=1; 1576.422:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=10.8s relativeDelta=1.84m attempt=1; 1576.577:v13 REJECT(candidate) reason=sensorWarmup"
-1783872956.234,"1584.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783872955.233,"1585.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783872954.233,"1586.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783872953.232,"1587.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783872952.232,"1588.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783872951.231,"1589.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783872950.236,"1590.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
-1783872949.235,"1591.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783872948.235,"1592.574:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783872946.233,"1594.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783872945.233,"1595.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783872944.232,"1596.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783872943.232,"1597.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783872942.236,"1598.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783872941.236,"1599.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783872940.235,"1600.576:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783872939.235,"1601.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783872938.234,"1602.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.13"
-1783872937.234,"1603.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783872936.233,"1604.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783872935.233,"1605.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783872934.232,"1606.591:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783872933.232,"1607.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783872932.236,"1608.591:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783872931.235,"1609.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783872930.235,"1610.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783872929.234,"1611.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783872928.189,"1612.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.13"
-1783872927.233,"1613.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783872926.233,"1614.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
